LAT,LON,Total_Rn2200100_Sum
-31.05,-36.95,3.4463616e-08
-31.05,-36.9,1.7231808e-08
-31.05,-36.85,2.0364864e-08
-31.05,-36.75,1.7231808e-08
-31.05,-36.7,1.7231808e-08
-31.05,-36.65,3.7596672e-08
-31.05,-36.6,1.8798336e-08
-31.05,-36.45,1.8798336e-08
-31.05,-36.4,1.8798336e-08
-31.05,-36.3,1.8798336e-08
-31.05,-36.25,3.9163199999999996e-08
-31.05,-36.15,1.8798336e-08
-31.05,-35.9,1.8798336e-08
-31.05,-35.85,1.8798336e-08
-31.05,-35.8,3.9163199999999996e-08
-31.05,-35.75,3.9163199999999996e-08
-31.05,-35.65,1.8798336e-08
-31.0,-47.15,2.3497919999999997e-08
-31.0,-47.1,2.3497919999999997e-08
-31.0,-47.05,4.5429311999999996e-08
-31.0,-46.95,4.5429311999999996e-08
-31.0,-46.9,9.7124736e-08
-31.0,-46.85,2.5064448e-08
-31.0,-45.85,4.0729728e-08
-31.0,-45.8,2.3497919999999997e-08
-31.0,-45.75,2.1931392000000003e-07
-31.0,-45.7,1.8798335999999998e-07
-31.0,-45.65,3.1330559999999996e-07
-31.0,-45.6,9.555820799999999e-08
-31.0,-45.55,7.6759872e-08
-31.0,-43.4,3.2897087999999995e-08
-31.0,-37.45,1.7231808e-08
-31.0,-37.2,1.7231808e-08
-31.0,-37.15,7.049376e-08
-31.0,-37.1,1.7231808e-08
-31.0,-37.05,7.049376e-08
-31.0,-37.0,1.7231808e-08
-31.0,-36.95,1.7231808e-08
-31.0,-36.9,3.603014399999999e-08
-31.0,-36.85,3.4463616e-08
-31.0,-36.75,3.9163199999999996e-08
-31.0,-36.7,9.399167999999999e-08
-31.0,-36.65,1.7231808e-08
-31.0,-36.55,1.8798336e-08
-31.0,-36.3,1.8798336e-08
-31.0,-36.25,1.8798336e-08
-31.0,-36.2,1.8798336e-08
-31.0,-35.95,5.7961536e-08
-31.0,-35.9,3.9163199999999996e-08
-31.0,-35.85,1.8798336e-08
-31.0,-35.75,1.8798336e-08
-31.0,-35.7,1.8798336e-08
-30.95,-47.1,2.3497919999999997e-08
-30.95,-47.05,2.3497919999999997e-08
-30.95,-47.0,2.3497919999999997e-08
-30.95,-46.95,1.2218918400000002e-07
-30.95,-46.9,7.206028799999998e-08
-30.95,-46.85,7.206028799999998e-08
-30.95,-46.8,5.1695424000000003e-08
-30.95,-45.85,2.3497919999999997e-08
-30.95,-45.8,1.15923072e-07
-30.95,-45.75,1.7231808e-07
-30.95,-45.7,2.0364863999999996e-07
-30.95,-45.65,1.15923072e-07
-30.95,-45.6,1.7231808e-07
-30.95,-45.55,5.7961536e-08
-30.95,-45.5,7.6759872e-08
-30.95,-37.4,1.7231808e-08
-30.95,-37.35,1.7231808e-08
-30.95,-37.3,3.603014399999999e-08
-30.95,-37.25,1.7231808e-08
-30.95,-37.15,1.7231808e-08
-30.95,-37.1,1.7231808e-08
-30.95,-37.05,1.7231808e-08
-30.95,-37.0,5.3261952e-08
-30.95,-36.95,3.4463616e-08
-30.95,-36.9,2.0364864e-08
-30.95,-36.85,3.7596672e-08
-30.95,-36.8,9.555820799999999e-08
-30.95,-36.55,1.8798336e-08
-30.95,-36.5,1.8798336e-08
-30.95,-36.4,1.8798336e-08
-30.95,-36.3,1.8798336e-08
-30.95,-36.25,3.9163199999999996e-08
-30.95,-35.75,1.8798336e-08
-30.9,-47.4,2.3497919999999997e-08
-30.9,-47.35,2.3497919999999997e-08
-30.9,-47.15,2.3497919999999997e-08
-30.9,-47.05,7.5193344e-08
-30.9,-47.0,4.8562368e-08
-30.9,-46.95,7.3626816e-08
-30.9,-46.9,1.2218918400000002e-07
-30.9,-46.85,9.7124736e-08
-30.9,-46.8,2.5064448e-08
-30.9,-46.75,2.6630976e-08
-30.9,-45.85,2.3497919999999997e-08
-30.9,-45.8,8.9292096e-08
-30.9,-45.75,9.869126400000001e-08
-30.9,-45.7,9.399167999999999e-08
-30.9,-45.65,1.15923072e-07
-30.9,-45.6,1.14356544e-07
-30.9,-45.55,1.8798336e-08
-30.9,-45.5,3.7596672e-08
-30.9,-43.35,3.2897087999999995e-08
-30.9,-37.65,1.7231808e-08
-30.9,-37.55,1.7231808e-08
-30.9,-37.5,7.049376e-08
-30.9,-37.4,1.7231808e-08
-30.9,-37.35,3.603014399999999e-08
-30.9,-37.3,1.7231808e-08
-30.9,-37.25,1.7231808e-08
-30.9,-37.15,1.7231808e-08
-30.9,-37.05,5.3261952e-08
-30.9,-37.0,3.4463616e-08
-30.9,-36.95,1.7231808e-08
-30.9,-36.85,2.0364864e-08
-30.9,-36.8,2.0364864e-08
-30.9,-36.7,2.0364864e-08
-30.9,-36.6,1.8798336e-08
-30.9,-36.55,1.8798336e-08
-30.9,-36.45,1.8798336e-08
-30.9,-36.05,1.8798336e-08
-30.9,-35.95,1.8798336e-08
-30.9,-35.9,3.9163199999999996e-08
-30.9,-35.85,3.9163199999999996e-08
-30.9,-35.8,1.8798336e-08
-30.9,-35.7,3.9163199999999996e-08
-30.9,-35.65,1.8798336e-08
-30.85,-47.35,4.5429311999999996e-08
-30.85,-47.1,2.3497919999999997e-08
-30.85,-47.0,5.1695424000000003e-08
-30.85,-46.95,7.206028799999998e-08
-30.85,-46.9,1.2218918400000002e-07
-30.85,-46.85,1.2845529599999998e-07
-30.85,-46.8,2.5064448e-08
-30.85,-45.9,2.3497919999999997e-08
-30.85,-45.85,9.2425152e-08
-30.85,-45.8,1.8798335999999998e-07
-30.85,-45.75,1.2532223999999999e-07
-30.85,-45.7,1.1279001600000001e-07
-30.85,-45.65,1.34721408e-07
-30.85,-45.6,7.6759872e-08
-30.85,-45.55,5.7961536e-08
-30.85,-45.5,5.7961536e-08
-30.85,-43.55,3.2897087999999995e-08
-30.85,-43.4,3.2897087999999995e-08
-30.85,-37.6,3.603014399999999e-08
-30.85,-37.55,3.603014399999999e-08
-30.85,-37.5,5.3261952e-08
-30.85,-37.45,5.3261952e-08
-30.85,-37.35,1.7231808e-08
-30.85,-37.25,1.7231808e-08
-30.85,-37.2,1.7231808e-08
-30.85,-37.1,1.7231808e-08
-30.85,-37.0,5.6395008000000006e-08
-30.85,-36.95,7.832639999999999e-08
-30.85,-36.8,1.8798336e-08
-30.85,-36.6,1.8798336e-08
-30.85,-36.55,1.8798336e-08
-30.85,-36.5,1.8798336e-08
-30.85,-36.4,1.8798336e-08
-30.85,-36.2,1.8798336e-08
-30.85,-36.1,1.8798336e-08
-30.85,-36.05,1.8798336e-08
-30.85,-35.95,1.8798336e-08
-30.85,-35.9,1.8798336e-08
-30.85,-35.8,1.8798336e-08
-30.8,-47.35,2.3497919999999997e-08
-30.8,-47.2,2.3497919999999997e-08
-30.8,-47.1,2.3497919999999997e-08
-30.8,-47.05,9.2425152e-08
-30.8,-47.0,2.3497919999999997e-08
-30.8,-46.95,1.00257792e-07
-30.8,-46.9,9.7124736e-08
-30.8,-46.85,1.00257792e-07
-30.8,-46.8,1.00257792e-07
-30.8,-46.75,5.1695424000000003e-08
-30.8,-45.9,2.3497919999999997e-08
-30.8,-45.85,1.5665279999999998e-07
-30.8,-45.8,1.06523904e-07
-30.8,-45.75,1.7231808e-07
-30.8,-45.7,2.1931392000000003e-07
-30.8,-45.65,8.302598399999999e-08
-30.8,-45.6,7.6759872e-08
-30.8,-45.55,7.6759872e-08
-30.8,-45.5,3.7596672e-08
-30.8,-37.6,1.7231808e-08
-30.8,-37.55,3.603014399999999e-08
-30.8,-37.5,3.603014399999999e-08
-30.8,-37.45,3.603014399999999e-08
-30.8,-37.4,3.603014399999999e-08
-30.8,-37.35,1.7231808e-08
-30.8,-37.3,1.7231808e-08
-30.8,-37.25,3.4463616e-08
-30.8,-37.1,3.7596672e-08
-30.8,-37.0,3.7596672e-08
-30.8,-36.85,2.0364864e-08
-30.8,-36.8,3.9163199999999996e-08
-30.8,-36.75,5.7961536e-08
-30.8,-36.7,3.9163199999999996e-08
-30.8,-36.65,3.9163199999999996e-08
-30.8,-36.6,1.8798336e-08
-30.8,-36.5,1.8798336e-08
-30.8,-36.35,1.8798336e-08
-30.8,-36.3,1.8798336e-08
-30.8,-36.2,3.9163199999999996e-08
-30.8,-36.15,1.8798336e-08
-30.8,-35.95,1.8798336e-08
-30.8,-35.85,1.8798336e-08
-30.8,-35.8,1.8798336e-08
-30.75,-47.35,2.3497919999999997e-08
-30.75,-47.2,2.3497919999999997e-08
-30.75,-47.15,4.5429311999999996e-08
-30.75,-47.1,1.00257792e-07
-30.75,-47.05,7.6759872e-08
-30.75,-47.0,2.5064448e-08
-30.75,-46.95,5.1695424000000003e-08
-30.75,-46.9,1.4255404799999998e-07
-30.75,-46.85,5.1695424000000003e-08
-30.75,-46.75,5.1695424000000003e-08
-30.75,-45.9,1.3942099199999999e-07
-30.75,-45.85,1.15923072e-07
-30.75,-45.8,2.6630976e-07
-30.75,-45.75,1.0965696000000001e-07
-30.75,-45.7,8.302598399999999e-08
-30.75,-45.65,1.3315488e-07
