LAT,LON,Total_Rn2200100_Sum
32.15,-105.8,5.8804948943999995e-08
32.15,-105.75,6.4405420272e-08
32.15,-105.7,6.1605184608e-08
32.15,-105.65,1.2601060488000002e-07
32.15,-105.6,3.3602827968e-08
32.15,-105.55,1.1200942656000001e-07
32.15,-105.5,1.03608719568e-07
32.15,-105.45,1.5401296152e-07
32.15,-105.4,5.8804948943999995e-08
32.15,-105.35,4.200353496e-08
32.15,-105.3,1.06408955232e-08
32.15,-105.25,2.6602238808e-08
32.15,-105.2,5.0404241951999996e-08
32.15,-105.15,2.100176748e-08
32.2,-106.1,1.79215082496e-08
32.2,-106.05,2.0441720347199998e-08
32.2,-105.95,1.2601060487999999e-08
32.2,-105.9,5.3204477616e-08
32.2,-105.85,1.87615789488e-08
32.2,-105.8,9.520801257600001e-08
32.2,-105.75,5.3204477616e-08
32.2,-105.7,8.400706992e-08
32.2,-105.65,1.06408955232e-07
32.2,-105.6,8.1206834256e-08
32.2,-105.55,8.400706992e-08
32.2,-105.5,1.1760989788799999e-07
32.2,-105.45,1.400117832e-07
32.2,-105.4,3.6403063632000004e-08
32.2,-105.35,2.12817910464e-08
32.2,-105.3,1.06408955232e-08
32.2,-105.25,2.2121861745600004e-08
32.2,-105.2,6.4405420272e-08
32.25,-106.1,1.56813197184e-08
32.25,-106.05,2.0441720347199998e-08
32.25,-105.95,1.3161107620800002e-08
32.25,-105.9,7.560636292799999e-08
32.25,-105.85,3.0802592304e-08
32.25,-105.8,7.280612726400001e-08
32.25,-105.75,7.8406598592e-08
32.25,-105.7,1.1480966222399999e-07
32.25,-105.65,6.4405420272e-08
32.25,-105.6,1.5121272585599998e-07
32.25,-105.55,7.00058916e-08
32.25,-105.5,1.28810840544e-07
32.25,-105.45,1.1200942656000001e-07
32.25,-105.4,3.6403063632000004e-08
32.25,-105.35,1.06408955232e-08
32.25,-105.3,1.59613432848e-08
32.25,-105.25,5.0404241951999996e-08
32.25,-105.2,5.8804948943999995e-08
32.3,-106.1,3.6403063632000004e-08
32.3,-106.05,4.4803770624e-08
32.3,-106.0,6.720565593599999e-09
